# 自动上架定价配置：<道具ID> D C B A S
# 由 tools/gen_auto_sell_price_cfg.py 从默认定价.xlsx 生成，改价请改 Excel 后重跑
2000 1000 1100 1210 1331 1464
2002 1000 1100 1210 1331 1464
2010 4000 4400 4840 5324 5856
2017 4000 4400 4840 5324 5856
2022 9000 9900 10890 11979 13176
2023 9000 9900 10890 11979 13176
2035 16000 17600 19360 21296 23425
2038 16000 17600 19360 21296 23425
2042 25000 27500 30250 33275 36602
2049 25000 27500 30250 33275 36602
2052 36000 39600 43560 47916 52707
2055 36000 39600 43560 47916 52707
2062 49000 53900 59290 65219 71740
2063 49000 53900 59290 65219 71740
2071 64000 70400 77440 85184 93702
2078 64000 70400 77440 85184 93702
2082 81000 89100 98010 107811 118592
2083 81000 89100 98010 107811 118592
2095 100000 110000 121000 133100 146410
2098 100000 110000 121000 133100 146410
3201 1000 1100 1210 1331 1464
3204 1000 1100 1210 1331 1464
3212 4000 4400 4840 5324 5856
3213 4000 4400 4840 5324 5856
3222 9000 9900 10890 11979 13176
3229 9000 9900 10890 11979 13176
3230 16000 17600 19360 21296 23425
3235 16000 17600 19360 21296 23425
3241 25000 27500 30250 33275 36602
3245 25000 27500 30250 33275 36602
3251 36000 39600 43560 47916 52707
3253 36000 39600 43560 47916 52707
3260 49000 53900 59290 65219 71740
3269 49000 53900 59290 65219 71740
3276 64000 70400 77440 85184 93702
3279 64000 70400 77440 85184 93702
3281 81000 89100 98010 107811 118592
3288 81000 89100 98010 107811 118592
3294 100000 110000 121000 133100 146410
3299 100000 110000 121000 133100 146410
2801 1000 1100 1210 1331 1464
2806 1000 1100 1210 1331 1464
2812 4000 4400 4840 5324 5856
2815 4000 4400 4840 5324 5856
2820 9000 9900 10890 11979 13176
2823 9000 9900 10890 11979 13176
2832 16000 17600 19360 21296 23425
2834 16000 17600 19360 21296 23425
2843 25000 27500 30250 33275 36602
2848 25000 27500 30250 33275 36602
2850 36000 39600 43560 47916 52707
2859 36000 39600 43560 47916 52707
2862 49000 53900 59290 65219 71740
2863 49000 53900 59290 65219 71740
2871 64000 70400 77440 85184 93702
2874 64000 70400 77440 85184 93702
2887 81000 89100 98010 107811 118592
2889 81000 89100 98010 107811 118592
2898 100000 110000 121000 133100 146410
2899 100000 110000 121000 133100 146410
6401 1000 1100 1210 1331 1464
6402 1000 1100 1210 1331 1464
6410 4000 4400 4840 5324 5856
6412 4000 4400 4840 5324 5856
6425 9000 9900 10890 11979 13176
6427 9000 9900 10890 11979 13176
6434 16000 17600 19360 21296 23425
6437 16000 17600 19360 21296 23425
6447 25000 27500 30250 33275 36602
6449 25000 27500 30250 33275 36602
661563 25000 27500 30250 33275 36602
6457 36000 39600 43560 47916 52707
6458 36000 39600 43560 47916 52707
6461 49000 53900 59290 65219 71740
6463 49000 53900 59290 65219 71740
6470 64000 70400 77440 85184 93702
6477 64000 70400 77440 85184 93702
6480 81000 89100 98010 107811 118592
6481 81000 89100 98010 107811 118592
6490 100000 110000 121000 133100 146410
6491 100000 110000 121000 133100 146410
883020 100000 110000 121000 133100 146410
3601 1000 1100 1210 1331 1464
3602 1000 1100 1210 1331 1464
3611 4000 4400 4840 5324 5856
3612 4000 4400 4840 5324 5856
3620 9000 9900 10890 11979 13176
3622 9000 9900 10890 11979 13176
3632 16000 17600 19360 21296 23425
3635 16000 17600 19360 21296 23425
3640 25000 27500 30250 33275 36602
3642 25000 27500 30250 33275 36602
3651 36000 39600 43560 47916 52707
3654 36000 39600 43560 47916 52707
3662 49000 53900 59290 65219 71740
3664 49000 53900 59290 65219 71740
3670 64000 70400 77440 85184 93702
3671 64000 70400 77440 85184 93702
3682 81000 89100 98010 107811 118592
3683 81000 89100 98010 107811 118592
3692 100000 110000 121000 133100 146410
3693 100000 110000 121000 133100 146410
4001 1000 1100 1210 1331 1464
4004 1000 1100 1210 1331 1464
4011 4000 4400 4840 5324 5856
4013 4000 4400 4840 5324 5856
4020 9000 9900 10890 11979 13176
4022 9000 9900 10890 11979 13176
4031 16000 17600 19360 21296 23425
4032 16000 17600 19360 21296 23425
4040 25000 27500 30250 33275 36602
4042 25000 27500 30250 33275 36602
4051 36000 39600 43560 47916 52707
4054 36000 39600 43560 47916 52707
4062 49000 53900 59290 65219 71740
4064 49000 53900 59290 65219 71740
241 64000 70400 77440 85184 93702
4070 64000 70400 77440 85184 93702
4074 64000 70400 77440 85184 93702
4082 81000 89100 98010 107811 118592
4084 81000 89100 98010 107811 118592
4091 100000 110000 121000 133100 146410
4092 100000 110000 121000 133100 146410
4400 1000 1100 1210 1331 1464
4405 1000 1100 1210 1331 1464
4410 4000 4400 4840 5324 5856
4411 4000 4400 4840 5324 5856
4420 9000 9900 10890 11979 13176
4421 9000 9900 10890 11979 13176
4430 16000 17600 19360 21296 23425
4434 16000 17600 19360 21296 23425
4442 25000 27500 30250 33275 36602
4444 25000 27500 30250 33275 36602
4458 36000 39600 43560 47916 52707
4459 36000 39600 43560 47916 52707
4461 49000 53900 59290 65219 71740
4464 49000 53900 59290 65219 71740
4470 64000 70400 77440 85184 93702
4471 64000 70400 77440 85184 93702
4481 81000 89100 98010 107811 118592
4484 81000 89100 98010 107811 118592
4490 100000 110000 121000 133100 146410
4491 100000 110000 121000 133100 146410
4803 1000 1100 1210 1331 1464
4806 1000 1100 1210 1331 1464
4812 4000 4400 4840 5324 5856
4813 4000 4400 4840 5324 5856
4821 9000 9900 10890 11979 13176
4823 9000 9900 10890 11979 13176
4833 16000 17600 19360 21296 23425
4834 16000 17600 19360 21296 23425
4844 25000 27500 30250 33275 36602
4845 25000 27500 30250 33275 36602
4853 36000 39600 43560 47916 52707
4855 36000 39600 43560 47916 52707
4860 49000 53900 59290 65219 71740
4867 49000 53900 59290 65219 71740
4871 64000 70400 77440 85184 93702
4873 64000 70400 77440 85184 93702
4882 81000 89100 98010 107811 118592
4883 81000 89100 98010 107811 118592
4892 100000 110000 121000 133100 146410
4893 100000 110000 121000 133100 146410
5205 1000 1100 1210 1331 1464
5206 1000 1100 1210 1331 1464
5211 4000 4400 4840 5324 5856
5212 4000 4400 4840 5324 5856
5223 9000 9900 10890 11979 13176
5224 9000 9900 10890 11979 13176
5231 16000 17600 19360 21296 23425
5233 16000 17600 19360 21296 23425
18803 16000 17600 19360 21296 23425
5242 25000 27500 30250 33275 36602
5244 25000 27500 30250 33275 36602
5250 36000 39600 43560 47916 52707
5253 36000 39600 43560 47916 52707
5261 49000 53900 59290 65219 71740
5262 49000 53900 59290 65219 71740
5272 64000 70400 77440 85184 93702
5274 64000 70400 77440 85184 93702
5281 81000 89100 98010 107811 118592
5282 81000 89100 98010 107811 118592
5290 100000 110000 121000 133100 146410
5291 100000 110000 121000 133100 146410
5600 1000 1100 1210 1331 1464
5601 1000 1100 1210 1331 1464
5612 4000 4400 4840 5324 5856
5614 4000 4400 4840 5324 5856
5620 9000 9900 10890 11979 13176
5621 9000 9900 10890 11979 13176
5630 16000 17600 19360 21296 23425
5631 16000 17600 19360 21296 23425
5640 25000 27500 30250 33275 36602
5641 25000 27500 30250 33275 36602
5653 36000 39600 43560 47916 52707
5654 36000 39600 43560 47916 52707
5660 49000 53900 59290 65219 71740
5664 49000 53900 59290 65219 71740
5671 64000 70400 77440 85184 93702
5673 64000 70400 77440 85184 93702
5680 81000 89100 98010 107811 118592
5681 81000 89100 98010 107811 118592
5690 100000 110000 121000 133100 146410
5691 100000 110000 121000 133100 146410
6001 1000 1100 1210 1331 1464
6002 1000 1100 1210 1331 1464
6010 4000 4400 4840 5324 5856
6011 4000 4400 4840 5324 5856
6022 9000 9900 10890 11979 13176
6025 9000 9900 10890 11979 13176
6031 16000 17600 19360 21296 23425
6033 16000 17600 19360 21296 23425
6040 25000 27500 30250 33275 36602
6042 25000 27500 30250 33275 36602
6052 36000 39600 43560 47916 52707
6054 36000 39600 43560 47916 52707
6063 49000 53900 59290 65219 71740
6064 49000 53900 59290 65219 71740
6072 64000 70400 77440 85184 93702
6074 64000 70400 77440 85184 93702
6080 81000 89100 98010 107811 118592
6081 81000 89100 98010 107811 118592
6090 100000 110000 121000 133100 146410
6091 100000 110000 121000 133100 146410
